  I  J
------
 78 11
 78 13
 79 13
 78 14
 79 14
 78 15
 79 15
  7 16
 79 16
 80 18
 80 19
  9 20
 72 29
 70 30
 71 30
 69 31
 24 32
 25 32
 69 32
 11 33
 22 33
 23 33
 24 33
 67 33
 68 33
 69 33
 70 33
 71 33
 72 33
 74 33
 75 33
 11 34
 21 34
 22 34
 31 34
 66 34
 67 34
 68 34
 69 34
 70 34
 71 34
 72 34
 73 34
 74 34
 75 34
 76 34
  9 35
 10 35
 11 35
 28 35
 65 35
 66 35
 67 35
 68 35
 69 35
 70 35
 71 35
 72 35
 73 35
 74 35
 75 35
 76 35
 96 35
  1 36
  7 36
  8 36
 13 36
 22 36
 65 36
 66 36
 67 36
 68 36
 69 36
 70 36
 71 36
 72 36
 73 36
 74 36
 75 36
 76 36
 77 36
 96 36
  1 37
  2 37
  3 37
  4 37
  5 37
  6 37
  8 37
 65 37
 66 37
 67 37
 68 37
 69 37
 70 37
 71 37
 72 37
 73 37
 75 37
 77 37
 78 37
 79 37
  2 38
  3 38
  4 38
  5 38
  6 38
  7 38
  8 38
 26 38
 27 38
 28 38
 29 38
 30 38
 31 38
 64 38
 65 38
 66 38
 67 38
 70 38
 71 38
 72 38
 73 38
 74 38
 75 38
 76 38
 78 38
 79 38
  4 39
  6 39
  7 39
  8 39
 24 39
 25 39
 28 39
 30 39
 64 39
 65 39
 66 39
 67 39
 72 39
 73 39
 74 39
 77 39
 79 39
  5 40
  8 40
 17 40
 25 40
 31 40
 32 40
 33 40
 62 40
 63 40
 64 40
 65 40
 69 40
 70 40
 77 40
 78 40
 79 40
 80 40
  4 41
  5 41
  9 41
 15 41
 17 41
 38 41
 56 41
 57 41
 59 41
 60 41
 61 41
 62 41
 63 41
 64 41
 65 41
 66 41
 67 41
 68 41
 69 41
 70 41
 71 41
  5 42
  6 42
  8 42
  9 42
 10 42
 13 42
 16 42
 17 42
 22 42
 26 42
 27 42
 35 42
 36 42
 37 42
 38 42
 39 42
 40 42
 41 42
 42 42
 43 42
 44 42
 47 42
 54 42
 58 42
 59 42
 60 42
 61 42
 65 42
 66 42
 67 42
 68 42
 70 42
  7 43
  8 43
  9 43
 10 43
 18 43
 19 43
 20 43
 21 43
 22 43
 23 43
 25 43
 31 43
 34 43
 36 43
 38 43
 40 43
 41 43
 42 43
 43 43
 46 43
 54 43
 55 43
 56 43
 57 43
 58 43
 59 43
 60 43
 61 43
 62 43
 63 43
 64 43
 67 43
 24 44
 25 44
 26 44
 27 44
 28 44
 29 44
 31 44
 32 44
 33 44
 29 45
