  I  J
------
 78 11
 78 12
 79 12
 78 13
 79 13
 78 14
 79 14
 80 14
 39 15
 40 15
 78 15
 79 15
 80 15
 81 15
  6 16
  7 16
  8 16
 33 16
 34 16
 37 16
 38 16
 39 16
 40 16
 41 16
 79 16
 80 16
 81 16
 82 16
 83 16
  6 17
  7 17
  8 17
  9 17
 32 17
 33 17
 34 17
 35 17
 36 17
 37 17
 38 17
 39 17
 40 17
 41 17
 79 17
 80 17
 81 17
 82 17
 83 17
  6 18
  7 18
  8 18
  9 18
 10 18
 13 18
 32 18
 33 18
 34 18
 35 18
 36 18
 37 18
 38 18
 39 18
 40 18
 41 18
 79 18
 80 18
 81 18
 82 18
 83 18
 84 18
  5 19
  6 19
  7 19
  8 19
  9 19
 10 19
 13 19
 34 19
 35 19
 36 19
 37 19
 38 19
 39 19
 40 19
 79 19
 80 19
 81 19
 82 19
 83 19
 84 19
 85 19
  5 20
  6 20
  7 20
  8 20
  9 20
 10 20
 11 20
 14 20
 35 20
 36 20
 37 20
 39 20
 78 20
 79 20
 80 20
 81 20
 82 20
 83 20
 84 20
 85 20
 86 20
  5 21
  6 21
  7 21
  8 21
  9 21
 10 21
 11 21
 77 21
 78 21
 79 21
 80 21
 81 21
 82 21
 83 21
 84 21
 85 21
 86 21
  5 22
  6 22
  7 22
  8 22
  9 22
 10 22
 11 22
 77 22
 78 22
 79 22
 80 22
 81 22
 82 22
 83 22
 84 22
 85 22
 86 22
 87 22
  5 23
  6 23
  7 23
  8 23
  9 23
 10 23
 11 23
 39 23
 76 23
 77 23
 78 23
 79 23
 80 23
 81 23
 82 23
 83 23
 84 23
 85 23
 86 23
 87 23
  4 24
  5 24
  6 24
  7 24
  8 24
  9 24
 10 24
 11 24
 31 24
 76 24
 77 24
 78 24
 79 24
 80 24
 81 24
 82 24
 83 24
 84 24
  4 25
  5 25
  6 25
  7 25
  8 25
  9 25
 10 25
 11 25
 12 25
 31 25
 32 25
 77 25
 78 25
 79 25
 80 25
 81 25
 82 25
 83 25
  3 26
  4 26
  5 26
  6 26
  7 26
  8 26
  9 26
 10 26
 11 26
 12 26
 13 26
 77 26
 78 26
 79 26
 80 26
 81 26
 95 26
  1 27
  2 27
  3 27
  4 27
  5 27
  6 27
  7 27
  8 27
  9 27
 10 27
 11 27
 12 27
 13 27
 14 27
 77 27
 78 27
 79 27
 80 27
 94 27
 95 27
 96 27
  1 28
  2 28
  3 28
  4 28
  5 28
  6 28
  7 28
  8 28
  9 28
 10 28
 11 28
 12 28
 22 28
 29 28
 74 28
 93 28
 94 28
 95 28
 96 28
  1 29
  2 29
  3 29
  4 29
  5 29
  6 29
  7 29
  8 29
  9 29
 10 29
 11 29
 13 29
 14 29
 21 29
 22 29
 27 29
 28 29
 29 29
